Wahlkreisname,row,col
001 Flensburg – Schleswig,1,12
002 Nordfriesland – Dithmarschen Nord,1,11
003 Steinburg – Dithmarschen Süd,2,11
004 Rendsburg-Eckernförde,2,12
005 Kiel,2,13
006 Plön – Neumünster,3,13
009 Ostholstein – Stormarn-Nord,3,14
007 Pinneberg,3,12
024 Aurich – Emden,3,7
026 Friesland – Wilhelmshaven – Wittmund,3,8
029 Cuxhaven – Stade II,3,11
011 Lübeck,4,15
008 Segeberg – Stormarn-Mitte,4,14
027 Oldenburg – Ammerland,4,8
025 Unterems,4,7
028 Delmenhorst – Wesermarsch – Oldenburg-Land,4,9
030 Stade I – Rotenburg II,4,10
020 Hamburg-Eimsbüttel,4,11
021 Hamburg-Nord,4,12
022 Hamburg-Wandsbek,4,13
014 Rostock – Landkreis Rostock II,4,16
015 Vorpommern-Rügen – Vorpommern-Greifswald I,4,17
010 Herzogtum Lauenburg – Stormarn-Süd,5,14
031 Mittelems,5,7
032 Cloppenburg – Vechta,5,8
055 Bremen II – Bremerhaven,5,9
034 Osterholz – Verden,5,10
036 Harburg,5,11
019 Hamburg-Altona,5,12
018 Hamburg-Mitte,5,13
013 Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I,5,15
017 Mecklenburgische Seenplatte II – Landkreis Rostock III,5,16
016 Mecklenburgische Seenplatte I – Vorpommern-Greifswald II,5,17
012 Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I,6,14
038 Osnabrück-Land,6,7
033 Diepholz – Nienburg I,6,9
035 Rotenburg I – Heidekreis,6,11
054 Bremen I,6,10
037 Lüchow-Dannenberg – Lüneburg,6,12
023 Hamburg-Bergedorf – Harburg,6,13
056 Prignitz – Ostprignitz-Ruppin – Havelland I,6,15
058 Oberhavel – Havelland II,6,16
057 Uckermark – Barnim I,6,17
128 Steinfurt III,6,6
039 Stadt Osnabrück,6,8
040 Nienburg II – Schaumburg,7,9
041 Stadt Hannover I,7,10
043 Hannover-Land I,7,11
044 Celle – Uelzen,7,12
076 Berlin-Pankow,7,16
077 Berlin-Reinickendorf,7,15
078 Berlin-Spandau – Charlottenburg Nord,7,14
059 Märkisch-Oderland – Barnim II,7,17
080 Berlin-Charlottenburg-Wilmersdorf,7,13
129 Münster,7,7
124 Steinfurt I – Borken I,7,6
126 Borken II,7,5
134 Minden-Lübbecke I,7,8
045 Gifhorn – Peine,8,12
042 Stadt Hannover II,8,11
047 Hannover-Land II,8,10
046 Hameln-Pyrmont – Holzminden,8,9
086 Berlin-Lichtenberg,8,16
083 Berlin-Friedrichshain-Kreuzberg – Prenzlauer Berg Ost,8,15
075 Berlin-Mitte,8,14
063 Frankfurt (Oder) – Oder-Spree,8,17
051 Helmstedt – Wolfsburg,8,13
133 Herford – Minden-Lübbecke II,8,8
132 Bielefeld – Gütersloh II,8,7
131 Gütersloh I,8,6
130 Warendorf,8,5
114 Krefeld II – Wesel II,8,4
127 Coesfeld – Steinfurt II,8,3
112 Kleve,8,2
066 Altmark,9,13
048 Hildesheim,9,10
049 Salzgitter – Wolfenbüttel,9,11
050 Braunschweig,9,12
085 Berlin-Marzahn-Hellersdorf,9,17
082 Berlin-Neukölln,9,16
081 Berlin-Tempelhof-Schöneberg,9,15
079 Berlin-Steglitz-Zehlendorf,9,14
135 Lippe I,9,9
111 Viersen,9,2
113 Wesel I,9,3
115 Duisburg I,9,4
123 Gelsenkirchen,9,5
122 Recklinghausen II,9,6
125 Bottrop – Recklinghausen III,9,7
146 Soest,9,8
067 Börde – Jerichower Land,10,13
052 Goslar – Northeim – Osterode,10,12
053 Göttingen,10,11
084 Berlin-Treptow-Köpenick,10,17
062 Dahme-Spreewald – Teltow-Fläming III – Oberspreewald-Lausitz I,10,16
060 Brandenburg an der Havel – Potsdam-Mittelmark I – Havelland III – Teltow-Fläming I,10,14
061 Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II,10,15
137 Paderborn,10,9
136 Höxter – Gütersloh III – Lippe II,10,10
142 Dortmund I,10,8
141 Herne – Bochum II,10,7
121 Recklinghausen I,10,6
117 Oberhausen – Wesel III,10,5
116 Duisburg II,10,4
110 Krefeld I – Neuss II,10,3
109 Mönchengladbach,10,2
089 Heinsberg,10,1
068 Harz,11,12
069 Magdeburg,11,13
071 Anhalt,11,14
070 Dessau – Wittenberg,11,15
064 Cottbus – Spree-Neiße,11,17
065 Elbe-Elster – Oberspreewald-Lausitz II,11,16
145 Hamm – Unna II,11,10
147 Hochsauerlandkreis,11,11
108 Neuss I,11,1
106 Düsseldorf I,11,2
107 Düsseldorf II,11,3
118 Mülheim – Essen I,11,4
119 Essen II,11,5
139 Ennepe-Ruhr-Kreis II,11,6
140 Bochum I,11,7
143 Dortmund II,11,8
144 Unna I,11,9
074 Mansfeld,12,12
072 Halle,12,13
157 Görlitz,12,18
156 Bautzen I,12,17
155 Meißen,12,16
151 Nordsachsen,12,15
152 Leipzig I,12,14
148 Siegen-Wittgenstein,12,9
150 Märkischer Kreis II,12,8
138 Hagen – Ennepe-Ruhr-Kreis I,12,7
120 Essen III,12,6
102 Wuppertal I,12,5
104 Mettmann I,12,4
105 Mettmann II,12,3
091 Rhein-Erft-Kreis I,12,2
088 Aachen II,12,1
190 Eisenach – Wartburgkreis – Unstrut-Hainich-Kreis,12,10
189 Eichsfeld – Nordhausen – Kyffhäuserkreis,12,11
073 Burgenland – Saalekreis,13,12
153 Leipzig II,13,14
154 Leipzig-Land,13,15
159 Dresden I,13,16
160 Dresden II – Bautzen II,13,17
163 Chemnitzer Umland – Erzgebirgskreis II,13,13
087 Aachen I,13,2
090 Düren,13,3
095 Köln III,13,4
101 Leverkusen – Köln IV,13,5
103 Solingen – Remscheid – Wuppertal II,13,6
149 Olpe – Märkischer Kreis I,13,7
191 Jena – Sömmerda – Weimarer Land I,13,11
193 Erfurt – Weimar – Weimarer Land II,13,10
167 Waldeck,13,8
168 Kassel,13,9
158 Sächsische Schweiz-Osterzgebirge,14,16
161 Mittelsachsen,14,15
162 Chemnitz,14,14
165 Zwickau,14,13
100 Rheinisch-Bergischer Kreis,14,6
093 Köln I,14,5
094 Köln II,14,4
092 Euskirchen – Rhein-Erft-Kreis II,14,3
194 Gera – Greiz – Altenburger Land,14,12
195 Saalfeld-Rudolstadt – Saale-Holzland-Kreis – Saale-Orla-Kreis,14,11
192 Gotha – Ilm-Kreis,14,10
169 Werra-Meißner – Hersfeld-Rotenburg,14,9
170 Schwalm-Eder,14,8
171 Marburg,14,7
196 Suhl – Schmalkalden-Meiningen – Hildburghausen – Sonneberg,15,11
164 Erzgebirgskreis I,15,16
166 Vogtlandkreis,15,15
098 Rhein-Sieg-Kreis II,15,3
096 Bonn,15,4
097 Rhein-Sieg-Kreis I,15,5
099 Oberbergischer Kreis,15,6
172 Lahn-Dill,15,7
173 Gießen,15,8
174 Fulda,15,9
239 Hof,15,14
238 Coburg,15,13
175 Main-Kinzig – Wetterau II – Schotten,15,10
248 Bad Kissingen,15,12
180 Hanau,16,9
177 Wetterau I,16,8
176 Hochtaunus,16,7
178 Rheingau-Taunus – Limburg,16,6
204 Montabaur,16,5
197 Neuwied,16,4
198 Ahrweiler,16,3
247 Aschaffenburg,16,10
249 Main-Spessart,16,11
240 Kulmbach,16,13
236 Bamberg,16,12
235 Weiden,17,13
183 Frankfurt am Main II,17,9
182 Frankfurt am Main I,17,8
181 Main-Taunus,17,7
179 Wiesbaden,17,6
202 Bitburg,17,2
200 Mosel/Rhein-Hunsrück,17,3
199 Koblenz,17,4
205 Mainz,17,5
237 Bayreuth,17,12
250 Schweinfurt,17,11
251 Würzburg,17,10
184 Groß-Gerau,18,7
185 Offenbach,18,8
206 Worms,18,5
209 Kaiserslautern,18,4
201 Kreuznach,18,3
203 Trier,18,2
275 Mannheim,18,6
243 Fürth,18,9
242 Erlangen,18,10
244 Nürnberg-Nord,18,11
232 Amberg,18,12
234 Schwandorf,18,13
186 Darmstadt,19,6
187 Odenwald,19,7
207 Ludwigshafen/Frankenthal,19,5
297 Saarlouis,19,2
298 St. Wendel,19,3
208 Neustadt – Speyer,19,4
188 Bergstraße,19,8
276 Odenwald – Tauber,19,9
233 Regensburg,19,13
246 Roth,19,12
245 Nürnberg-Süd,19,11
241 Ansbach,19,10
274 Heidelberg,20,8
296 Saarbrücken,20,2
299 Homburg,20,3
210 Pirmasens,20,4
277 Rhein-Neckar,20,6
267 Heilbronn,20,7
254 Donau-Ries,20,10
268 Schwäbisch Hall – Hohenlohe,20,9
216 Ingolstadt,20,11
228 Landshut,20,12
231 Straubing,20,13
278 Bruchsal – Schwetzingen,20,5
227 Deggendorf,21,14
211 Südpfalz,21,4
264 Waiblingen,21,7
266 Neckar-Zaber,21,6
255 Neu-Ulm,21,9
270 Aalen – Heidenheim,21,8
271 Karlsruhe-Stadt,21,5
215 Fürstenfeldbruck,21,10
214 Freising,21,11
230 Rottal-Inn,21,13
213 Erding – Ebersberg,21,12
212 Altötting,22,13
252 Augsburg-Stadt,22,9
272 Karlsruhe-Land,22,5
265 Ludwigsburg,22,6
269 Backnang – Schwäbisch Gmünd,22,7
263 Göppingen,22,8
273 Rastatt,22,4
220 München-West/Mitte,22,10
217 München-Nord,22,11
218 München-Ost,22,12
229 Passau,22,14
259 Stuttgart II,23,8
258 Stuttgart I,23,7
260 Böblingen,23,6
279 Pforzheim,23,5
253 Augsburg-Land,23,9
224 Starnberg – Landsberg am Lech,23,10
284 Offenburg,23,4
221 München-Land,23,12
219 München-Süd,23,11
223 Bad Tölz-Wolfratshausen – Miesbach,23,13
222 Rosenheim,23,14
225 Traunstein,24,14
261 Esslingen,24,8
262 Nürtingen,24,7
290 Tübingen,24,6
280 Calw,24,5
283 Emmendingen – Lahr,24,4
281 Freiburg,24,3
257 Ostallgäu,24,12
292 Biberach,24,10
295 Zollernalb – Sigmaringen,24,9
294 Ravensburg,24,11
226 Weilheim,24,13
291 Ulm,25,9
286 Schwarzwald-Baar,25,5
285 Rottweil – Tuttlingen,25,6
289 Reutlingen,25,7
282 Lörrach – Müllheim,25,3
288 Waldshut,25,4
256 Oberallgäu,25,11
287 Konstanz,25,8
293 Bodensee,25,10
